"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Predator",21,9,3,3,2,161.981468660204,401.794173931007
"Predator",22,9,3,3,2,117.180089512368,415.216598406276
"Predator",23,9,3,3,2,57.8377566831873,406.934703408948
"Predator",24,9,3,3,2,143.389067154561,464.108060004108
"Predator",25,9,3,3,2,232.934589068818,462.801022076103
"Predator",26,9,3,3,2,141.357865814944,520.308216127398
"Predator",27,9,3,3,2,159.559021817415,529.953900261596
"Predator",28,9,3,3,2,97.6484328423641,359.22088775687
"Predator",29,9,3,3,2,158.260412422488,358.959344616217
"Predator",30,9,3,3,2,162.305696765467,475.867700800437
"Predator",31,9,3,3,2,111.277534964659,459.909429524576
"Control",1,10,3,3,2,102.89469864155,377.805728352088
"Control",2,10,3,3,2,166.688317753071,392.732096598423
"Control",3,10,3,3,2,215.425268308077,433.3921911857
"Control",4,10,3,3,2,161.630756992455,379.033093556362
"Control",5,10,3,3,2,127.452390186253,369.662577868011
"Control",6,10,3,3,2,142.697743812039,468.170323096206
"Control",7,10,3,3,2,135.397376203572,474.650058332306
"Control",8,10,3,3,2,117.557991550118,396.370546358694
"Control",9,10,3,3,2,177.340119294818,381.85851476464
"Control",10,10,3,3,2,152.495555349143,443.069856406151
"Control",11,10,3,3,2,157.36109489125,439.248743907081
"Control",12,10,3,3,2,148.880369264044,464.29135592451
"Control",13,10,3,3,2,113.908084757741,466.845943803156
"Control",14,10,3,3,2,126.525506178685,490.98144461917
"Control",15,10,3,3,2,144.233029186563,413.847600672347
"Control",16,10,3,3,2,96.1576697998129,350.711773762556
"Control",17,10,3,3,2,123.876878712146,297.477922825962
"Control",18,10,3,3,2,103.968741363926,404.954990740364
"Control",19,10,3,3,2,137.861100032882,428.563859120204
"Control",20,10,3,3,2,190.210345100217,450.84820569772
"Control",21,10,3,3,2,145.776550874283,451.489970305991
"Control",22,10,3,3,2,157.70287501387,385.608889235408
"Control",23,10,3,3,2,171.332811171018,415.788046219123
"Control",24,10,3,3,2,103.921077745991,243.664984517397
"Control",25,10,3,3,2,123.56906339307,326.240203353394
"Control",26,10,3,3,2,138.393048535571,385.384458694031
"Control",27,10,3,3,2,137.899741891942,332.112079230029
"Control",28,10,3,3,2,79.9577860459485,334.457305901813
"Control",29,10,3,3,2,136.147629944827,307.955107554722
"Control",30,10,3,3,2,152.277539228767,352.815018665208
"Control",31,10,3,3,2,128.991496106727,320.923928492449
"Conspecific",1,11,3,3,2,91.5166343182481,269.006427688581
"Conspecific",2,11,3,3,2,106.944102511504,229.69060263921
"Conspecific",3,11,3,3,2,109.996589353869,277.190006527544
"Conspecific",4,11,3,3,2,108.757950447071,291.111369953595
"Conspecific",5,11,3,3,2,129.707830469838,377.223140240875
"Conspecific",6,11,3,3,2,137.119544321825,332.954864775074
"Conspecific",7,11,3,3,2,202.723051391008,381.007559263633
"Conspecific",8,11,3,3,2,107.868996741252,284.072754358842
"Conspecific",9,11,3,3,2,171.974077368403,325.16994040979
"Conspecific",10,11,3,3,2,158.856012003231,373.22791869212
"Conspecific",11,11,3,3,2,128.174212066705,358.749169361767
"Conspecific",12,11,3,3,2,135.322001860302,343.371345767995
"Conspecific",13,11,3,3,2,144.064516801838,300.03729553851
"Conspecific",14,11,3,3,2,116.290788606439,226.169422864402
"Conspecific",15,11,3,3,2,96.4392054431399,242.489454652386
"Conspecific",16,11,3,3,2,146.795965357548,308.373367867539
"Conspecific",17,11,3,3,2,107.535972598178,220.214130784779
"Conspecific",18,11,3,3,2,112.165163646023,344.123872693712
"Conspecific",19,11,3,3,2,152.502616083219,401.008126301401
"Conspecific",20,11,3,3,2,172.003050435361,402.713947574781
"Conspecific",21,11,3,3,2,142.327293718113,348.354879824466
"Conspecific",22,11,3,3,2,107.589762192423,365.824192207505
"Conspecific",23,11,3,3,2,184.378503064123,386.448651350135
"Conspecific",24,11,3,3,2,111.65664806742,299.850064373865
"Conspecific",25,11,3,3,2,163.891081872602,377.672282931849
"Conspecific",26,11,3,3,2,139.392039875405,352.255033233559
"Conspecific",27,11,3,3,2,150.842047275069,321.860324348709
"Conspecific",28,11,3,3,2,110.026503055527,345.850678773385
"Conspecific",29,11,3,3,2,171.742387082387,444.676286496355
"Conspecific",30,11,3,3,2,137.917284223932,417.065833783543
"Conspecific",31,11,3,3,2,131.29261481914,345.699728552589
"Combined",1,12,3,3,2,146.580947259685,449.139450609621
"Combined",2,12,3,3,2,164.657167168711,438.52322620994
"Combined",3,12,3,3,2,137.016917048096,459.100092048602
"Combined",4,12,3,3,2,153.724343827156,481.258780251563
"Combined",5,12,3,3,2,94.5657368141695,440.972709705438
"Combined",6,12,3,3,2,89.3630104034836,433.581879177435
"Combined",7,12,3,3,2,141.745695005709,383.161029665596
"Combined",8,12,3,3,2,106.747166210751,436.736852433989
"Combined",9,12,3,3,2,58.2596085481582,440.146446620342
"Combined",10,12,3,3,2,111.580355523146,430.845333824739
"Combined",11,12,3,3,2,119.817655077103,423.009697504723
"Combined",12,12,3,3,2,118.201188978721,465.919336836846
"Combined",13,12,3,3,2,159.466471236352,473.352244846877
"Combined",14,12,3,3,2,116.229009782221,337.790221794508
"Combined",15,12,3,3,2,132.249142530851,326.354062071936
"Combined",16,12,3,3,2,136.20426995151,324.054896004426
